"URXPHE.Code.or.Value","URXPHE.Value.Description","URXPHE.Count","URXPHE.Cumulative","URXPHE.Skip.to.Item"
"0.71 to 27.8","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
