"MPQ120E.Code.or.Value","MPQ120E.Value.Description","MPQ120E.Count","MPQ120E.Cumulative","MPQ120E.Skip.to.Item"
"14","Upper arm - right",64,64,NA
".","Missing",4977,5041,NA
