"SSII4UOM.Code.or.Value","SSII4UOM.Value.Description","SSII4UOM.Count","SSII4UOM.Cumulative","SSII4UOM.Skip.to.Item"
"0.01 to 3.5","Range of Values",1036,1036,NA
".","Missing",0,1036,NA
