"LBDEPAHL.Code.or.Value","LBDEPAHL.Value.Description","LBDEPAHL.Count","LBDEPAHL.Cumulative","LBDEPAHL.Skip.to.Item"
"0","At or above the detection limit",97,97,NA
"1","Below lower detection limit",1807,1904,NA
".","Missing",273,2177,NA
