"BHQ090.Code.or.Value","BHQ090.Value.Description","BHQ090.Count","BHQ090.Cumulative","BHQ090.Skip.to.Item"
"1","Always",21,21,NA
"2","Most of the time",73,94,NA
"3","Sometimes",1119,1213,NA
"4","Rarely",2086,3299,NA
"5","Never",1968,5267,NA
"7","Refused",1,5268,NA
"9","Don't know",9,5277,NA
".","Missing",782,6059,NA
