"CVDEXCL1.Code.or.Value","CVDEXCL1.Value.Description","CVDEXCL1.Count","CVDEXCL1.Cumulative","CVDEXCL1.Skip.to.Item"
"1","Yes",328,328,NA
"2","No",545,873,NA
".","Missing",3790,4663,NA
