"MSAEXSTS.Code.or.Value","MSAEXSTS.Value.Description","MSAEXSTS.Count","MSAEXSTS.Cumulative","MSAEXSTS.Skip.to.Item"
"1","Complete",1560,1560,NA
"2","Partial",469,2029,NA
"3","Not done",264,2293,NA
".","Missing",0,2293,NA
