"WTSPH4YR.Code.or.Value","WTSPH4YR.Value.Description","WTSPH4YR.Count","WTSPH4YR.Cumulative","WTSPH4YR.Skip.to.Item"
"0 to 303669.30938","Range of Values",2901,2901,NA
".","Missing",0,2901,NA
