"WTMREP06.Code.or.Value","WTMREP06.Value.Description","WTMREP06.Count","WTMREP06.Cumulative","WTMREP06.Skip.to.Item"
"0 to 262491.489","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
