"LBDTSALC.Code.or.Value","LBDTSALC.Value.Description","LBDTSALC.Count","LBDTSALC.Cumulative","LBDTSALC.Skip.to.Item"
"0","At or above the detection limit",4266,4266,NA
"1","Below lower detection limit",0,4266,NA
".","Missing",1377,5643,NA
