"DEX1PSFH.Code.or.Value","DEX1PSFH.Value.Description","DEX1PSFH.Count","DEX1PSFH.Cumulative","DEX1PSFH.Skip.to.Item"
"1","Present",32,32,NA
".","Missing",2960,2992,NA
