"LBXBCO.Code.or.Value","LBXBCO.Value.Description","LBXBCO.Count","LBXBCO.Cumulative","LBXBCO.Skip.to.Item"
"0.04 to 17.79","Range of Values",3520,3520,NA
".","Missing",156,3676,NA
