"ORXH64.Code.or.Value","ORXH64.Value.Description","ORXH64.Count","ORXH64.Cumulative","ORXH64.Skip.to.Item"
"1","Positive",0,0,NA
"2","Negative",4546,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
