"LBXBCR.Code.or.Value","LBXBCR.Value.Description","LBXBCR.Count","LBXBCR.Cumulative","LBXBCR.Skip.to.Item"
"0.29 to 8.62","Range of Values",3518,3518,NA
".","Missing",158,3676,NA
