"URXDCB.Code.or.Value","URXDCB.Value.Description","URXDCB.Count","URXDCB.Cumulative","URXDCB.Skip.to.Item"
"0.07 to 1260.6","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
