"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.109 to 200","Range of Values",2749,2749,NA
".","Missing",230,2979,NA
