"SSGI1C1.Code.or.Value","SSGI1C1.Value.Description","SSGI1C1.Count","SSGI1C1.Cumulative","SSGI1C1.Skip.to.Item"
"0 to 100000","Range of Values",1031,1031,NA
".","Missing",5,1036,NA
