"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"246 to 314","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
