"VIXKLG1.Code.or.Value","VIXKLG1.Value.Description","VIXKLG1.Count","VIXKLG1.Cumulative","VIXKLG1.Skip.to.Item"
"0 to 180","Range of Values",6441,6441,NA
"888","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
