"ARQ021BC.Code.or.Value","ARQ021BC.Value.Description","ARQ021BC.Count","ARQ021BC.Cumulative","ARQ021BC.Skip.to.Item"
"2","aching,",180,180,NA
".","Missing",4926,5106,NA
