"WHD150.Code.or.Value","WHD150.Value.Description","WHD150.Count","WHD150.Cumulative","WHD150.Skip.to.Item"
"10 to 84","Range of Values",5155,5155,NA
"85","85 or older",29,5184,NA
"77777","Refused",13,5197,NA
"99999","Don't know",246,5443,NA
".","Missing",601,6044,NA
