"WTSAU19.Code.or.Value","WTSAU19.Value.Description","WTSAU19.Count","WTSAU19.Cumulative","WTSAU19.Skip.to.Item"
"0 to 475216.28785","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
