"AUXR3KR.Code.or.Value","AUXR3KR.Value.Description","AUXR3KR.Count","AUXR3KR.Cumulative","AUXR3KR.Skip.to.Item"
"45 to 90","Range of Values",6,6,NA
"666","No response",1,7,NA
"888","Could not obtain",1,8,NA
".","Missing",3123,3131,NA
