"DXDLLPF.Code.or.Value","DXDLLPF.Value.Description","DXDLLPF.Count","DXDLLPF.Cumulative","DXDLLPF.Skip.to.Item"
"10.7 to 61.1","Range of Values",4004,4004,NA
".","Missing",1110,5114,NA
