"SDNPFOAL.Code.or.Value","SDNPFOAL.Value.Description","SDNPFOAL.Count","SDNPFOAL.Cumulative","SDNPFOAL.Skip.to.Item"
"0","At or above the detection limit",1937,1937,NA
"1","Below lower detection limit",17,1954,NA
".","Missing",0,1954,NA
