"FSD235.Code.or.Value","FSD235.Value.Description","FSD235.Count","FSD235.Cumulative","FSD235.Skip.to.Item"
"5 to 964","Range of Values",2355,2355,NA
"55555","More than $1,000",9,2364,NA
"77777","Refused",27,2391,NA
"99999","Don't know",169,2560,NA
".","Missing",6694,9254,NA
