"OHD30LAS.Code.or.Value","OHD30LAS.Value.Description","OHD30LAS.Count","OHD30LAS.Cumulative","OHD30LAS.Skip.to.Item"
"0 to 7","Range of Values",1987,1987,NA
"99","Calculation cannot be determined",572,2559,NA
".","Missing",4159,6718,NA
