"MCQ160l.Code.or.Value","MCQ160l.Value.Description","MCQ160l.Count","MCQ160l.Cumulative","MCQ160l.Skip.to.Item"
"1","Yes",294,294,NA
"2","No",5260,5554,NA
"7","Refused",0,5554,NA
"9","Don't know",15,5569,NA
".","Missing",3328,8897,NA
