"URDTNE7.Code.or.Value","URDTNE7.Value.Description","URDTNE7.Count","URDTNE7.Cumulative","URDTNE7.Skip.to.Item"
"0.3564 to 460.4","Range of Values",548,548,NA
".","Missing",2431,2979,NA
