"LBDFOL.Code.or.Value","LBDFOL.Value.Description","LBDFOL.Count","LBDFOL.Cumulative","LBDFOL.Skip.to.Item"
"1.9 to 253.9","Range of Values",8713,8713,NA
".","Missing",1122,9835,NA
