"LB2SASSI.Code.or.Value","LB2SASSI.Value.Description","LB2SASSI.Count","LB2SASSI.Cumulative","LB2SASSI.Skip.to.Item"
"9 to 256","Range of Values",544,544,NA
".","Missing",2,546,NA
