"RFXT065.Code.or.Value","RFXT065.Value.Description","RFXT065.Count","RFXT065.Cumulative","RFXT065.Skip.to.Item"
"557 to 566","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
