"WTSPP40.Code.or.Value","WTSPP40.Value.Description","WTSPP40.Count","WTSPP40.Cumulative","WTSPP40.Skip.to.Item"
"0 to 837870.51774","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
