"OSQ040ad.Code.or.Value","OSQ040ad.Value.Description","OSQ040ad.Count","OSQ040ad.Cumulative","OSQ040ad.Skip.to.Item"
"1","Under 50 years old, or",0,0,"OSQ025"
"2","50 years old or older?",1,1,""
"7","Refused",0,1,"OSQ025"
"9","Don't know",0,1,"OSQ025"
".","Missing",5934,5935,""
