"WTSPP33.Code.or.Value","WTSPP33.Value.Description","WTSPP33.Count","WTSPP33.Cumulative","WTSPP33.Skip.to.Item"
"0 to 830730.67192","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
