"WTIREP47.Code.or.Value","WTIREP47.Value.Description","WTIREP47.Count","WTIREP47.Cumulative","WTIREP47.Skip.to.Item"
"0 to 232738.99202","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
