"OSQ030cb.Code.or.Value","OSQ030cb.Value.Description","OSQ030cb.Count","OSQ030cb.Cumulative","OSQ030cb.Skip.to.Item"
"18 to 84","Range of Values",7,7,NA
"77777","Refused",0,7,NA
"99999","Don't know",0,7,NA
".","Missing",5404,5411,NA
