"LB2IN.Code.or.Value","LB2IN.Value.Description","LB2IN.Count","LB2IN.Cumulative","LB2IN.Skip.to.Item"
"3.08 to 154.3","Range of Values",205,205,NA
".","Missing",352,557,NA
