"OHD21LAM.Code.or.Value","OHD21LAM.Value.Description","OHD21LAM.Count","OHD21LAM.Cumulative","OHD21LAM.Skip.to.Item"
"0 to 8","Range of Values",2224,2224,NA
"99","Calculation cannot be determined",276,2500,NA
".","Missing",4218,6718,NA
