"TBQ035.Code.or.Value","TBQ035.Value.Description","TBQ035.Count","TBQ035.Cumulative","TBQ035.Skip.to.Item"
"1","Yes",156,156,NA
"2","No",18,174,NA
"7","Refused",0,174,NA
"9","Don't know",0,174,NA
".","Missing",7987,8161,NA
