"DXXHEBMD.Code.or.Value","DXXHEBMD.Value.Description","DXXHEBMD.Count","DXXHEBMD.Cumulative","DXXHEBMD.Skip.to.Item"
"1.032 to 4.182","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
