"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",2137,2137,""
"2","No",4014,6151,"BPQ080"
"7","Refused",0,6151,"BPQ080"
"9","Don't know",10,6161,"BPQ080"
".","Missing",0,6161,""
