"WTSB2YRA.Code.or.Value","WTSB2YRA.Value.Description","WTSB2YRA.Count","WTSB2YRA.Cumulative","WTSB2YRA.Skip.to.Item"
"0 to 874638.01159","Range of Values",2143,2143,NA
".","Missing",0,2143,NA
