"VIQ220.Code.or.Value","VIQ220.Value.Description","VIQ220.Count","VIQ220.Cumulative","VIQ220.Skip.to.Item"
"1","Yes",2976,2976,""
"2","No",3548,6524,"VIXOCMT"
"9","Don't know",3,6527,""
".","Missing",390,6917,""
