"URXCCC.Code.or.Value","URXCCC.Value.Description","URXCCC.Count","URXCCC.Cumulative","URXCCC.Skip.to.Item"
"0.07 to 222.69","Range of Values",3048,3048,NA
".","Missing",104,3152,NA
