"CDQ060.Code.or.Value","CDQ060.Value.Description","CDQ060.Count","CDQ060.Cumulative","CDQ060.Skip.to.Item"
"1","Yes",261,261,NA
"2","No",76,337,NA
"7","Refused",0,337,NA
"9","Don't know",11,348,NA
".","Missing",2837,3185,NA
