"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.08 to 23.18","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
