"WTSAU20.Code.or.Value","WTSAU20.Value.Description","WTSAU20.Count","WTSAU20.Cumulative","WTSAU20.Skip.to.Item"
"0 to 478364.8772","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
