"SPFSA.Code.or.Value","SPFSA.Value.Description","SPFSA.Count","SPFSA.Cumulative","SPFSA.Skip.to.Item"
"0.1 to 9.6","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
