"DXXRLFAT.Code.or.Value","DXXRLFAT.Value.Description","DXXRLFAT.Count","DXXRLFAT.Cumulative","DXXRLFAT.Skip.to.Item"
"660.5 to 21280.6","Range of Values",3966,3966,NA
".","Missing",1148,5114,NA
