"SEQ040.Code.or.Value","SEQ040.Value.Description","SEQ040.Count","SEQ040.Cumulative","SEQ040.Skip.to.Item"
"1","Yes",10,10,NA
"2","No",7224,7234,NA
".","Missing",1598,8832,NA
