"LBXF06LA.Code.or.Value","LBXF06LA.Value.Description","LBXF06LA.Count","LBXF06LA.Cumulative","LBXF06LA.Skip.to.Item"
"0.4 to 26.9","Range of Values",1864,1864,NA
".","Missing",421,2285,NA
