"LBC066LA.Code.or.Value","LBC066LA.Value.Description","LBC066LA.Count","LBC066LA.Cumulative","LBC066LA.Skip.to.Item"
"0.1697 to 5.709","Range of Values",265,265,NA
".","Missing",0,265,NA
