"DEQ2IAOT.Code.or.Value","DEQ2IAOT.Value.Description","DEQ2IAOT.Count","DEQ2IAOT.Cumulative","DEQ2IAOT.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
