"CSXQUISG.Code.or.Value","CSXQUISG.Value.Description","CSXQUISG.Count","CSXQUISG.Cumulative","CSXQUISG.Skip.to.Item"
"0 to 100","Range of Values",3114,3114,NA
".","Missing",594,3708,NA
