"VIXKLCG.Code.or.Value","VIXKLCG.Value.Description","VIXKLCG.Count","VIXKLCG.Cumulative","VIXKLCG.Skip.to.Item"
"0 to 179","Range of Values",6441,6441,NA
"888","Could not obtain",63,6504,NA
".","Missing",413,6917,NA
