"CVDESVO2.Code.or.Value","CVDESVO2.Value.Description","CVDESVO2.Count","CVDESVO2.Cumulative","CVDESVO2.Skip.to.Item"
"20.85 to 125.9","Range of Values",2809,2809,NA
".","Missing",1854,4663,NA
