"DBQ221A.Code.or.Value","DBQ221A.Value.Description","DBQ221A.Count","DBQ221A.Cumulative","DBQ221A.Skip.to.Item"
"10","Whole or regular,",4152,4152,NA
"77","Refused",1,4153,NA
"99","Don't know",9,4162,NA
".","Missing",5960,10122,NA
