"LBXSZN.Code.or.Value","LBXSZN.Value.Description","LBXSZN.Count","LBXSZN.Cumulative","LBXSZN.Skip.to.Item"
"31.4 to 150.7","Range of Values",2436,2436,NA
".","Missing",256,2692,NA
