"URXTHF.Code.or.Value","URXTHF.Value.Description","URXTHF.Count","URXTHF.Cumulative","URXTHF.Skip.to.Item"
"0.0566 to 0.0566","Range of Values",2495,2495,NA
".","Missing",199,2694,NA
