"BMAEXSTS.Code.or.Value","BMAEXSTS.Value.Description","BMAEXSTS.Count","BMAEXSTS.Cumulative","BMAEXSTS.Skip.to.Item"
"1","Complete",9143,9143,NA
"2","Partial",80,9223,NA
"3","Not Done",59,9282,NA
".","Missing",0,9282,NA
