"DXDTOLE.Code.or.Value","DXDTOLE.Value.Description","DXDTOLE.Count","DXDTOLE.Cumulative","DXDTOLE.Skip.to.Item"
"13745.8 to 105578.4","Range of Values",3820,3820,NA
".","Missing",1294,5114,NA
