"ENXTR2Q.Code.or.Value","ENXTR2Q.Value.Description","ENXTR2Q.Count","ENXTR2Q.Cumulative","ENXTR2Q.Skip.to.Item"
"5 to 205","Range of Values",6131,6131,NA
".","Missing",1364,7495,NA
