"LBCHCBLA.Code.or.Value","LBCHCBLA.Value.Description","LBCHCBLA.Count","LBCHCBLA.Cumulative","LBCHCBLA.Skip.to.Item"
"3.787 to 45.52","Range of Values",265,265,NA
".","Missing",0,265,NA
